SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539336,GUJGAS      ,A ,Q,845.00,862.00,836.10,842.60,836.10,841.95,320,4162,3528556.00,
539346,SADBHIN     ,B ,Q,146.55,148.10,139.00,140.20,140.20,144.55,413,46887,6760422.00,
539351,PRABHAT     ,B ,Q,220.00,223.00,211.00,212.15,212.15,214.05,812,28444,6189710.00,
539354,POLYSPIN    ,XT,Q,118.65,118.65,108.00,118.00,118.00,113.00,8,779,87380.00,
539359,PRITIKAUTO  ,XT,Q,130.00,131.10,130.00,131.00,131.00,130.00,35,3748,488879.00,
539363,SKC         ,M ,Q,178.00,179.90,145.50,152.25,145.50,177.80,20,25000,4163650.00,
539384,KRISHNACAP  ,XT,Q,6.05,6.05,6.05,6.05,6.05,5.77,1,150,907.00,
539391,ACME        ,X ,Q,24.75,24.75,23.60,23.60,23.60,23.60,7,330,7972.00,
539399,BELLACASA   ,M ,Q,214.00,217.00,212.00,212.00,212.00,217.00,5,5000,1073000.00,
539400,MALLCOM     ,X ,Q,304.00,304.00,300.00,300.20,300.00,304.00,6,165,49610.00,
539403,ARAMBHAN    ,M ,Q,48.05,48.50,48.05,48.05,48.05,50.55,3,15000,723000.00,
539404,SATIN       ,B ,Q,467.85,483.05,445.15,457.45,457.45,467.00,1579,18636,8561128.00,
539407,GENCON      ,X ,Q,193.45,193.45,189.25,190.90,190.90,192.05,177,52921,10128578.00,
539408,KUBERJI     ,XT,Q,5.71,5.98,5.43,5.98,5.98,5.71,19,2141,12195.00,
539410,SIENERGY    ,X ,Q,7.77,8.30,7.10,8.00,8.30,7.76,12,1568,12169.00,
539436,COFFEEDAY   ,B ,Q,320.00,336.80,316.00,325.55,325.55,319.80,935,64884,20998018.00,
539437,IDFCBANK    ,A ,Q,56.70,57.10,55.50,56.10,56.10,56.65,2560,1012445,57186404.00,
539447,BEARDSELL   ,B ,Q,61.90,61.90,61.90,61.90,61.90,61.90,4,381,23583.00,
539448,INDIGO      ,A ,Q,1217.60,1235.00,1197.50,1218.65,1218.65,1211.70,2101,29678,36162264.00,
539450,SHK         ,B ,Q,299.05,308.80,299.05,303.85,302.60,300.45,1489,61439,18759630.00,
539455,DASL        ,XT,Q,25.55,25.55,25.55,25.55,25.55,25.00,1,50,1277.00,
539470,SHREEGANES  ,X ,Q,229.50,229.50,229.45,229.45,229.45,229.45,3,91,20880.00,
539479,GTV         ,X ,Q,27.75,29.10,26.75,26.75,26.75,27.75,14,1616,44700.00,
539487,LICNETFSEN  ,B ,Q,380.00,380.00,364.00,377.90,377.90,376.40,4,21,7813.00,
539494,SMARTFIN    ,X ,Q,49.45,49.45,49.45,49.45,49.45,49.40,1,32,1582.00,
539515,GMLM        ,XT,Q,29.30,29.30,29.30,29.30,29.30,30.80,1,2000,58600.00,
539516,HDFCNIFETF  ,B ,Q,1136.00,1151.85,1122.91,1122.91,1122.91,1134.00,6,30,34248.00,
539518,UDAYJEW     ,XT,Q,36.35,36.75,36.05,36.15,36.15,36.35,13,400,14515.00,
539520,SHAILJA     ,XT,Q,12.50,12.50,12.45,12.45,12.45,12.10,11,31449,392326.00,
539523,ALKEM       ,A ,Q,2211.95,2243.00,2176.05,2225.05,2243.00,2198.40,259,990,2193356.00,
